Artist,Title,Duration
Phish,Divided Sky,16
Stevie Ray Vaughan,Voodoo Chile (Slight Return),16
Van Morrison,Summertime In England,16
The Weirdos,A Life Of Crime,15
Frankie Goes To Hollywood,Welcome To The Pleasuredome,14
Dire Straits,Telegraph Road,14
Spacemen 3,Rollercoaster,14
Sheila E,The Glamorous Life,14
Simple Minds,Someone Somewhere In Summertime,13
Bob Dylan,Brownsville Girl,13
A Flock Of Seagulls,The Story Of A Young Heart,13
Rick James and The Temptations,Standing On The Top,12
The Stone Roses,Fool's Gold,11
Zapp & Roger,More Bounce To The Ounce,11
Neil Young & Crazy Horse,T-Bone,11
Joe Walsh,The Confessor,11
Laurie Anderson,O Superman,11
Talking Heads,The Overload,11
The Hooters,Hanging On A Heartbeat,11
Yes,Into The Lens,10
